employee_id,name,department,designation,date_of_joining,work_location,reporting_manager,employment_type,tenure_in_current_role,past_roles_held,total_experience,avg_hours_logged_vs_team,task_completion_ratio,active_workdays,voluntary_contributions,burnout_risk,responsiveness,meeting_participation,task_ownership,adherence_to_deadlines,work_quality_consistency,conversion_rate,revenue_generated,upsell_opportunities_closed,client_retention_rate,crm_followup_consistency,code_commits,bug_fix_count,sprint_velocity,deployment_frequency,code_quality,model_accuracy,feature_engineering,experiment_reproducibility,model_deployment_count,tech_debt_reduction,positions_filled,onboarding_satisfaction,training_sessions_delivered,employee_engagement_score,policy_compliance_x,feature_delivery_timeliness,roadmap_adherence,cross_team_coordination,sprint_success_rate,stakeholder_ratings,ledger_accuracy,compliance_adherence,invoice_processing_efficiency,audit_readiness_score,report_submission_punctuality,campaign_reach,leads_generated,social_engagement_rate,seo_improvement,content_delivery_timeliness,test_cases_executed,bugs_reported,automation_coverage,regression_pass_rate,defect_leakage_rate,budget_forecasting_accuracy,variance_analysis_score,report_timeliness,cost_saving_suggestions,financial_modeling_score,uptime_percentage,mttr,successful_deployments,cicd_pipeline_efficiency,incident_response_time,design_delivery_timeliness,usability_test_score,rework_count,visual_consistency,accessibility_score,reports_delivered,insight_accuracy,query_efficiency,dashboard_usage_rate,data_quality_score,certifications_completed,online_courses_attended,training_hours_logged,knowledge_contributions,hackathon_participation,innovation_submissions,peer_review_rating,manager_feedback,meeting_participation_rate,communication_effectiveness,conflict_resolution,mentorship_participation,client_communication,response_to_change,initiative_in_projects,adaptability_to_change,promotion_recommendation,retention_suggestion,leadership_score,stress_load_tolerance,special_recognitions,hr_warnings,peer_complaints,recognition_received,policy_compliance_y,ethics_confidentiality,total_experience_score,internal_transfers,promotions_achieved,projects_handled,past_ratings_history,score_delta,manager_comments,hr_notes,peer_reviews,client_feedback,effort_engagement_score,role_specific_kpi_score,skill_development_score,collaboration_communication_score,adaptability_growth_score,integrity_feedback_score,historical_progress_score,overall_weighted_score
EMP0011,Larry Hampton,Finance,Financial Analyst,6/17/2024,Remote,Thomas Smith,Full-Time,1,2,2.8,4,5,4,2,3,4,5,5,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,2,2,,,,,,,,,,,,,,,,2,5,2,3,0,0,4,4,5,4,3,5,4,3,4,3,1,0,4,3,0,0,0,1,5,3,4,4,1,3,3,1,Larry Hampton has demonstrated satisfactory performance this quarter. Area for improvement: needs to be more proactive in team discussions.,Larry Hampton maintains professional conduct and follows company policies.,"As a colleague, I find Larry Hampton to be acceptable to work with. Area for improvement: needs to focus on performance optimization.",N/A - Role does not involve direct client interaction,5,1.8,3,4,3,4,1,4
EMP0012,Amanda Lowe,Finance,Financial Analyst,11/19/2022,Hybrid,Samantha Green,Intern,2.6,0,5.6,2,3,1,2,2,3,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,2,2,4,,,,,,,,,,,,,,,,0,4,4,5,0,0,2,3,2,3,3,0,4,1,2,2,0,0,2,4,3,0,1,5,5,5,4,4,0,5,2,3,"In my assessment, Amanda Lowe has shown acceptable work as a Financial Analyst. Area for improvement: should provide clearer status updates.",Amanda Lowe actively participates in company initiatives and team activities. Exemplary adherence to company values and ethics.,Working with Amanda Lowe has been a acceptable experience. Area for improvement: needs to stay updated with latest technologies.,N/A - Role does not involve direct client interaction,2,2.6,2,3,2,5,1,2
EMP0013,Katelyn Fitzpatrick,HR,HR Executive,3/23/2025,Hybrid,Rebecca Mcdonald,Full-Time,0.3,1,2.6,2,3,4,3,2,2,3,5,3,3,,,,,,,,,,,,,,,,2,3,2,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,1,1,5,0,3,3,3,2,1,0,2,3,4,2,0,0,4,4,0,0,0,1,5,5,2,5,0,4,1,3,"Overall, Katelyn Fitzpatrick's performance has been standard during this review period. Area for improvement: needs better client communication.",Katelyn Fitzpatrick demonstrates good work-life balance and time management.,Katelyn Fitzpatrick brings typical contributions to our team. Area for improvement: could improve written communication. Demonstrates strong interpersonal skills and employee focus.,Client noted occasional delays in response times from Katelyn Fitzpatrick.,3,2.6,1,2,3,4,2,3
EMP0014,Norma Scott,Marketing,Marketing Specialist,6/21/2024,Hybrid,Michelle Burton,Intern,1,1,4.4,3,2,2,4,3,4,3,2,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,3,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,2,3,5,1,3,3,3,4,5,0,3,1,2,3,1,0,3,3,0,0,0,1,3,5,2,3,1,4,4,3,"Overall, Norma Scott's performance has been solid during this review period. They demonstrate attention to detail.",Norma Scott actively participates in company initiatives and team activities. Attendance record is excellent.,Norma Scott brings solid contributions to our team. They demonstrate strategic thinking. They demonstrate attention to detail. Area for improvement: needs to stay updated with latest technologies.,Client feedback indicates satisfaction with Norma Scott's performance.,3,3.6,4,4,2,4,2,3
EMP0015,David Miles,Engineering,Software Developer,9/3/2020,On-site,Hailey Terry,Contract,4.8,3,6.1,4,3,3,2,3,3,3,3,3,4,,,,,,4,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,5,0,0,3,4,3,3,3,5,4,3,3,2,1,0,3,3,1,0,0,3,5,5,2,3,1,1,3,5,"Overall, David Miles's performance has been competent during this review period. They demonstrate conflict resolution. They demonstrate leads by example. Area for improvement: could improve peer collaboration. Development suggestion: could benefit from code review sessions.",David Miles actively participates in company initiatives and team activities. Exemplary adherence to company values and ethics.,Working with David Miles has been a competent experience. They contribute valuable technical expertise to the team.,N/A - Role does not involve direct client interaction,3,3.8,0,3,3,5,3,3
EMP0016,Joyce Lang,Sales,Sales Executive,1/15/2022,Hybrid,Samantha York,Intern,3.5,2,4.6,2,3,2,2,2,3,4,2,3,3,3,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,1,1,0,0,3,2,4,3,3,0,3,2,2,2,1,0,2,4,1,0,0,3,5,5,2,3,1,5,4,3,Joyce Lang has demonstrated satisfactory performance this quarter. Area for improvement: needs better client communication. Maintains strong client relationships and follows up consistently.,Joyce Lang shows commitment to continuous learning and development. Exemplary adherence to company values and ethics.,"As a colleague, I find Joyce Lang to be satisfactory to work with. Area for improvement: should participate more in team activities.",Some client feedback indicates need for more proactive updates.,3,3.8,2,3,2,5,2,3
EMP0017,Neil Flores,Engineering,DevOps Engineer,3/14/2023,Hybrid,Katie Burns,Contract,2.3,1,3.6,3,4,2,2,2,3,4,5,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,2,3,2,,,,,,,,,,,0,3,1,1,0,0,3,2,4,3,3,5,3,4,4,4,1,0,4,4,2,0,0,3,5,5,3,3,1,5,3,1,"Overall, Neil Flores's performance has been satisfactory during this review period. Area for improvement: needs better prioritization.",Neil Flores actively participates in company initiatives and team activities. Exemplary adherence to company values and ethics.,Working with Neil Flores has been a adequate experience. Area for improvement: should participate more in team activities.,N/A - Role does not involve direct client interaction,3,2.4,1,3,4,5,1,3
EMP0018,Jennifer Meyer,Sales,Sales Executive,7/22/2020,Hybrid,Monica Frederick,Intern,4.9,2,8.6,4,3,2,2,3,2,1,5,3,3,3,2,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,1,0,5,0,3,2,1,2,1,0,2,4,4,5,0,0,4,3,3,0,0,3,5,5,4,3,0,4,3,3,Jennifer Meyer has demonstrated adequate performance this quarter. Area for improvement: needs to stay updated with latest technologies.,Jennifer Meyer shows commitment to continuous learning and development. Exemplary adherence to company values and ethics.,"As a colleague, I find Jennifer Meyer to be acceptable to work with. Area for improvement: could improve testing practices. Maintains strong client relationships and follows up consistently.",Some client feedback indicates need for more proactive updates.,2,2.8,1,2,4,5,2,3
EMP0019,Jeremiah Fernandez,Design,UI/UX Designer,11/23/2021,Hybrid,Michelle Franklin,Contract,3.6,2,4.7,3,3,4,3,2,2,2,5,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,4,4,4,,,,,,2,5,3,0,5,3,2,2,2,2,3,0,2,3,4,4,1,0,4,4,0,0,1,3,3,5,2,4,2,3,3,3,Jeremiah Fernandez has demonstrated consistent performance this quarter. They demonstrate attention to detail. They demonstrate stakeholder management.,Jeremiah Fernandez shows commitment to continuous learning and development. Some areas for improvement in policy compliance noted. No disciplinary actions on record.,Jeremiah Fernandez brings competent contributions to our team. They demonstrate strategic thinking. They demonstrate innovative thinking. Area for improvement: needs better prioritization.,N/A - Role does not involve direct client interaction,3,3.8,3,2,4,4,2,3
EMP0020,Mrs. Kathryn Campbell,HR,HR Executive,8/14/2023,Remote,Jessica Fernandez,Full-Time,1.9,0,6.2,3,2,4,1,3,3,3,3,3,2,,,,,,,,,,,,,,,,2,3,4,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,0,0,0,0,2,3,3,3,3,5,3,3,3,4,0,0,3,3,0,0,0,3,5,5,4,3,0,1,4,3,Mrs. Kathryn Campbell has demonstrated typical performance this quarter. Area for improvement: could improve peer collaboration.,Mrs. Kathryn Campbell maintains professional conduct and follows company policies. Consistently demonstrates high ethical standards. Received positive feedback from multiple sources.,Working with Mrs. Kathryn Campbell has been a standard experience. Area for improvement: needs better client communication. Demonstrates strong interpersonal skills and employee focus.,Some client feedback indicates need for more proactive updates.,3,3.4,2,3,3,5,1,3
EMP0021,Joseph Johnson,HR,HR Executive,10/22/2024,On-site,Spencer Flores,Intern,0.7,3,3.7,3,4,2,2,2,4,3,2,3,3,,,,,,,,,,,,,,,,2,3,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,4,0,0,1,3,3,3,4,5,0,3,3,2,2,0,0,3,4,0,0,0,1,5,5,2,4,0,3,3,3,"Overall, Joseph Johnson's performance has been standard during this review period. Area for improvement: requires better planning.",Joseph Johnson contributes positively to team culture and collaboration.,"As a colleague, I find Joseph Johnson to be adequate to work with. Area for improvement: needs to stay updated with latest technologies. Demonstrates strong interpersonal skills and employee focus.",Some client feedback indicates need for more proactive updates.,3,2.6,2,4,2,4,2,3
EMP0022,Shane Griffith,Design,UI/UX Designer,1/7/2025,Hybrid,Ryan Fuller,Contract,0.5,2,5.4,1,2,2,2,2,4,3,5,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,3,,,,,,0,0,4,5,0,0,4,4,3,4,3,0,3,2,5,4,1,0,5,4,1,0,0,1,5,5,2,3,3,2,4,3,"In my assessment, Shane Griffith has shown acceptable work as a UI/UX Designer. Area for improvement: could improve written communication.",Shane Griffith contributes positively to team culture and collaboration. Exemplary adherence to company values and ethics. Participates in volunteer programs.,Shane Griffith brings satisfactory contributions to our team. Area for improvement: struggles with deadline management.,N/A - Role does not involve direct client interaction,3,3.2,1,4,4,5,3,4
EMP0023,Jennifer King,Engineering,Software Developer,3/28/2023,Hybrid,Robert Nguyen,Full-Time,2.3,2,6.1,3,3,5,2,3,2,1,3,3,2,,,,,,2,2,2,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,1,5,0,0,2,2,1,2,3,5,3,4,3,2,1,0,3,3,0,0,0,1,5,5,2,3,2,2,4,1,Jennifer King has demonstrated satisfactory performance this quarter. Area for improvement: needs better prioritization. They contribute valuable technical expertise to the team.,Jennifer King demonstrates good work-life balance and time management.,Jennifer King brings standard contributions to our team. Area for improvement: needs better client communication. They contribute valuable technical expertise to the team.,N/A - Role does not involve direct client interaction,3,2.4,2,2,3,5,2,3
EMP0024,Mark Garza,Product,Product Manager,12/27/2023,Remote,Leslie Sutton,Contract,1.5,1,3.8,4,4,2,3,3,3,4,5,4,4,,,,,,,,,,,,,,,,,,,,,3,4,4,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,4,1,0,1,4,3,4,3,1,0,4,2,5,2,1,0,4,3,1,0,0,3,5,5,4,4,1,1,4,1,"Overall, Mark Garza's performance has been dependable during this review period. They demonstrate mentoring abilities.",Mark Garza actively participates in company initiatives and team activities. Exemplary adherence to company values and ethics. Completed all mandatory training on time.,Mark Garza brings consistent contributions to our team. They demonstrate excellent presentation skills. Area for improvement: could improve peer collaboration. Development suggestion: could benefit from code review sessions.,Client feedback indicates satisfaction with Mark Garza's performance.,3,3.2,4,3,3,5,1,3
EMP0025,Hannah Flynn,Finance,Accountant,1/15/2025,Hybrid,Lisa Brown,Contract,0.5,1,3,4,3,3,1,3,4,4,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,1,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,3,0,0,0,4,4,4,4,3,0,4,1,3,1,0,0,3,3,0,0,0,3,5,1,5,3,0,5,4,1,"Overall, Hannah Flynn's performance has been standard during this review period. Area for improvement: should provide clearer status updates.",Hannah Flynn shows commitment to continuous learning and development.,"As a colleague, I find Hannah Flynn to be adequate to work with. Area for improvement: requires better planning.",N/A - Role does not involve direct client interaction,3,2.2,4,4,2,3,1,3
EMP0026,Mrs. Judy Scott MD,Engineering,QA Tester,6/30/2023,Hybrid,Carol Price,Contract,2,1,2.8,3,2,3,4,2,3,3,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,2,2,4,,,,,,,,,,,,,,,,,,,,,3,3,4,1,5,3,2,4,4,2,1,0,4,1,2,2,0,0,2,4,2,0,0,3,3,5,4,4,2,5,3,1,"Overall, Mrs. Judy Scott MD's performance has been dependable during this review period. They demonstrate takes initiative. They demonstrate active listening.",Mrs. Judy Scott MD actively participates in company initiatives and team activities. Exemplary adherence to company values and ethics. Attendance record is excellent.,Mrs. Judy Scott MD brings competent contributions to our team. Area for improvement: requires better planning. Development suggestion: suggest communication workshops.,N/A - Role does not involve direct client interaction,3,2.8,3,2,2,4,1,2
EMP0027,Tammy Fisher,HR,HR Executive,12/31/2020,Hybrid,Rebecca Mcdonald,Full-Time,4.5,2,6.9,2,3,3,4,2,3,3,3,3,2,,,,,,,,,,,,,,,,2,2,4,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,0,1,5,3,2,3,4,2,1,0,5,4,3,2,1,0,3,4,0,0,0,3,5,5,5,5,2,3,3,5,Tammy Fisher has demonstrated reliable performance this quarter. They demonstrate cross-functional collaboration. They demonstrate takes initiative. Development suggestion: suitable for mentoring junior team members.,Tammy Fisher shows commitment to continuous learning and development. Consistently demonstrates high ethical standards.,Working with Tammy Fisher has been a dependable experience. They demonstrate innovative thinking. They demonstrate active listening. Area for improvement: requires better planning. Development suggestion: recommend leadership training. Demonstrates strong interpersonal skills and employee focus.,Client feedback indicates satisfaction with Tammy Fisher's performance.,3,2.4,1,2,3,3,3,3
EMP0028,Travis Flynn,Engineering,QA Tester,4/25/2021,Remote,Melissa Harding,Contract,4.2,1,4.5,2,3,4,3,2,3,2,2,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,3,3,3,,,,,,,,,,,,,,,,,,,,,3,3,4,3,5,0,3,3,2,3,3,0,4,3,2,3,1,0,2,4,0,0,0,3,5,5,5,3,2,2,2,1,"Overall, Travis Flynn's performance has been competent during this review period. They demonstrate decision-making. They demonstrate stakeholder management.",Travis Flynn shows commitment to continuous learning and development. Consistently demonstrates high ethical standards. No disciplinary actions on record.,Travis Flynn brings consistent contributions to our team. They demonstrate attention to detail. Area for improvement: requires better error handling. They contribute valuable technical expertise to the team.,N/A - Role does not involve direct client interaction,3,3,3,3,3,5,1,3
EMP0029,Julie Ramos,Engineering,AI/ML Engineer,5/3/2023,On-site,Christopher Foster,Full-Time,2.2,3,6.3,3,4,4,4,3,2,3,5,3,2,,,,,,,,,,,2,4,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,1,3,5,5,2,2,3,2,3,5,2,3,4,2,0,0,4,3,2,0,0,3,5,5,2,3,0,3,3,5,"Overall, Julie Ramos's performance has been reliable during this review period. They demonstrate innovative thinking. Development suggestion: could benefit from project management training.",Julie Ramos maintains professional conduct and follows company policies. Exemplary adherence to company values and ethics. Attendance record is excellent.,Julie Ramos brings competent contributions to our team. They demonstrate takes initiative. Area for improvement: requires better planning. Development suggestion: recommend advanced training in specific technologies.,N/A - Role does not involve direct client interaction,3,2.4,4,2,3,5,3,3
EMP0030,Connie Bradley,Engineering,Data Analyst,2/27/2022,On-site,James Kelly,Full-Time,3.3,3,8,4,3,3,2,3,3,3,2,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,4,4,3,2,5,3,3,0,0,3,3,3,3,3,5,3,3,2,2,0,0,2,3,0,0,0,1,5,5,4,4,0,4,3,3,"In my assessment, Connie Bradley has shown consistent work as a Data Analyst. They demonstrate conflict resolution. They demonstrate system design expertise. Area for improvement: needs to be more proactive in team discussions. Development suggestion: suggest communication workshops. They contribute valuable technical expertise to the team.",Connie Bradley demonstrates good work-life balance and time management.,Working with Connie Bradley has been a consistent experience. They demonstrate mentoring abilities. Area for improvement: requires better error handling.,N/A - Role does not involve direct client interaction,3,4,3,3,2,5,2,3
